prefecture_id,english_name,japanese_name,japanese_kana_name,town_name,area,perimeter,elevation
長崎県,sakitojima Island,崎戸島,さきとじま,西海市,0.41,,
長崎県,enoshima Island,江島,えのしま,西海市,2.58,,
長崎県,hirashima Island,平島,ひらしま,西海市,5.47,,
長崎県,nagushijima Island,南串島,なぐしじま,西海市,0.69,,
長崎県,matsushima Island,松島,まつしま,西海市,6.37,,
長崎県,ikeshima Island,池島,いけしま,長崎市,1.08,,
長崎県,ioujima Island,伊王島,いおうじま,長崎市,1.21,,
長崎県,okinoshima Island,沖之島,おきのしま,長崎市,0.95,,
長崎県,takashima Island,高島,たかしま,長崎市,1.19,,
長崎県,kabashima Island,樺島,かばしま,長崎市,2.32,,
長崎県,makishima Island,牧島,まきしま,長崎市,1.62,,
長崎県,ukujima Island,宇久島,うくじま,佐世保市,24.9,,
長崎県,terashima Island,寺島,てらしま,佐世保市,1.3,,
長崎県,mushima Island,六島,むしま,北松浦郡小値賀町,0.69,,
長崎県,nozakijima Island,野崎島,のざきじま,北松浦郡小値賀町,7.11,,
長崎県,noushima Island,納島,のうしま,北松浦郡小値賀町,0.65,,
長崎県,ojikajima Island,小値賀島,おぢかじま,北松浦郡小値賀町,12.26,,
長崎県,madarashima Island,斑島,まだらしま,北松浦郡小値賀町,1.58,,
長崎県,kuroshima Island,黒島,くろしま,北松浦郡小値賀町,0.24,,
長崎県,ooshima Island,大島,おおしま,北松浦郡小値賀町,0.71,,
長崎県,nakadoorijima Island,中通島,なかどおりじま,南松浦郡新上五島町,168.39,,
長崎県,kashiragashima Island,頭ケ島,かしらがしま,南松浦郡新上五島町,1.86,,
長崎県,kirinokojima Island,桐ノ小島,きりのこじま,南松浦郡新上五島町,0.04,,
長崎県,wakamatsujima Island,若松島,わかまつじま,南松浦郡新上五島町,31.14,,
長崎県,riuzegaurashima Island,漁生浦島,りょうぜがうらしま,南松浦郡新上五島町,0.65,,
長崎県,arifukujima Island,有福島,ありふくじま,南松浦郡新上五島町,2.97,,
長崎県,hinoshima Island,日島,ひのしま,南松浦郡新上五島町,1.37,,
長崎県,narushima Island,奈留島,なるしま,五島市,23.68,,
長崎県,maeshima Island,前島,まえしま,五島市,0.47,,
長崎県,hisakajima Island,久賀島,ひさかじま,五島市,37.24,,
長崎県,warabikojima Island,蕨小島,わらびこじま,五島市,0.03,,
長崎県,kabashima Island,椛島,かばしま,五島市,8.69,,
長崎県,fukuejima Island,福江島,ふくえじま,五島市,326.36,,
長崎県,akashima Island,赤島,あかしま,五島市,0.51,,
長崎県,oushima Island,黄島,おうしま,五島市,1.39,,
長崎県,kuroshima Island,黒島,くろしま,五島市,1.12,,
長崎県,shimayamajima Island,島山島,しまやまじま,五島市,5.5,,
長崎県,saganoshima Island,嵯峨島,さがのしま,五島市,3.16,,
熊本県,tobasejima Island,戸馳島,とばせじま,宇城市,6.95,,
熊本県,ooyanojima Island,大矢野島,おおやのじま,上天草市,30.12,,
熊本県,iwajima Island,維和島,いわじま,上天草市,6.52,,
熊本県,yagiujima Island,野牛島,やぎゅうじま,上天草市,0.12,,
熊本県,yushima Island,湯島,ゆしま,上天草市,0.52,,
熊本県,nogamajima Island,野釜島,のがまじま,上天草市,0.32,,
熊本県,nagaurajima Island,永浦島,ながうらじま,上天草市,0.79,,
熊本県,hiaijima Island,樋合島,ひあいじま,上天草市,0.79,,
熊本県,maejima Island,前島,まえじま,上天草市,0.43,,
熊本県,nakajima Island,中島,なかじま,上天草市,0.21,,
熊本県,amakusakamishima Island,天草上島,あまくさかみしま,上天草市、天草市,225.85,,
熊本県,hinoshima Island,樋島,ひのしま,上天草市,3.42,,
熊本県,goshiurajima Island,御所浦島,ごしょうらじま,天草市,12.54,,
熊本県,makishima Island,牧島,まきしま,天草市,5.59,,
熊本県,yokourajima Island,横浦島,よこうらじま,天草市,1.14,,
熊本県,amakusashimoshima Island,天草下島,あまくさしもしま,天草市、天草郡苓北町,574.95,,
熊本県,tsuujishima Island,通詞島,つうじしま,天草市,0.6,,
熊本県,yokoshima Island,横島,よこしま,天草市,0.83,,
熊本県,gesushima Island,下須島,げすしま,天草市,4.5,,
大分県,himeshima Island,姫島,ひめしま,姫島村,6.98,,
大分県,ooniushima Island,大入島,おおにゅうしま,佐伯市,5.64,,
大分県,ooshima Island,大島,おおしま,佐伯市,1.61,,
大分県,yakatajima Island,屋形島,やかたじま,佐伯市,1.07,,
大分県,kuroshima Island,黒島,くろしま,臼杵市,0.2,,
大分県,hotojima Island,保戸島,ほとじま,津久見市,0.86,,
大分県,jimukushima Island,地無垢島,じむくしま,津久見市,0.29,,
大分県,fukashima Island,深島,ふかしま,佐伯市,1.1,,
宮崎県,shimauratou Island,島浦島,しまうらとう,延岡市,2.85,,
宮崎県,ooshima Island,大島,おおしま,日南市,2.03,,
宮崎県,tsukishima Island,築島,つきしま,串間市,0.24,,
宮崎県,aoshima Island,青島,あおしま,宮崎市,0.04,,
鹿児島県,amamiooshima Island,奄美大島,あまみおおしま,奄美市・大島郡大和村・大島郡宇検村・大島郡龍郷町・大島郡瀬戸内,712.41,,
鹿児島県,yakushima Island,屋久島,やくしま,屋久島町,504.25,,
鹿児島県,tanegashima Island,種子島,たねがしま,西之表市、熊毛郡中種子町、熊毛郡南種子町,443.78,,
鹿児島県,tokunoshima Island,徳之島,とくのしま,大島郡徳之島町、大島郡伊仙町、大島郡天城町,247.85,,
